MessageID,TEC,Entrada SW Ida,Duracao SW Ida,Saida SW Ida,Entrada SA Ida,Duracao SA Ida,Saida SA Ida,Entrada DB,Duracao DB,Saida DB,Entrada SA Volta,Duracao SA Ida,Saida SA Volta,Entrada SW Volta,Duracao SW,Saida SW Volta,Recepcao da resposta,Interacao,
0,0.0005,0.0005021558509160379,0.012,0.012502155850916038,0.012507606916123546,0.04,0.05250760691612355,0.052517588991697416,0.375,0.4275175889916974,0.4275554605009087,0.11,0.5375175889916974,0.42754526516058,0.012,0.4395175889916974,0.444520098905006,3,
1,0.001,0.012504396245005255,0.011,0.023504396245005256,0.05251305798133106,0.05,0.10251305798133106,0.42752709573033915,0.35700000000000004,0.7845270957303392,0.7845629015208663,0.11,0.8945270957303392,0.7845534664195575,0.011,0.7955270957303392,0.8005298024995936,3,
2,0.0015,0.023506573231714588,0.005,0.02850657323171459,0.10251845663245003,0.057,0.15951845663245004,,,,,,,0.1595445662257355,0.007,0.16651845663245005,0.1715210403667383,2,
3,0.002,0.028508877033183687,0.01,0.03850887703318369,0.15952380286948048,0.051,0.21052380286948047,0.7845373630080723,0.19799999999999998,0.9825373630080723,0.982573857371494,0.077,1.0595373630080722,0.9825660835606863,0.012,0.9945373630080723,0.9995398483143877,3,
4,0.0025,0.038511159698859494,0.011,0.0495111596988595,0.2105294635910421,0.052,0.2625294635910421,0.9825473450836462,0.35700000000000004,1.3395473450836461,1.339582118014831,0.073,1.412547345083646,1.3395758045403272,0.012,1.3515473450836462,1.3565500518529003,3,
5,0.003,0.04951337895715542,0.012,0.06151337895715542,0.2625350718985152,0.048,0.3105350718985152,1.3395571370244472,0.08,1.4195571370244473,1.4195919099556322,0.104,1.5235571370244474,1.4195858575770612,0.012,1.4315571370244473,1.4365598191867084,3,
6,0.0035,0.06151570389441781,0.009,0.0705157038944178,0.3105408374482539,0.052,0.3625408374482539,1.419566833897862,0.131,1.550566833897862,1.5506036725477312,0.08,1.630566833897862,1.550595293354543,0.011,1.5615668338978619,1.5665694422391432,3,
7,0.004,0.0705179865600936,0.011,0.0815179865600936,0.36254607885710727,0.056,0.41854607885710726,1.5505767209060495,0.29000000000000004,1.8405767209060495,1.8406135595559188,0.064,1.9045767209060496,1.8406054414586634,0.01,1.8505767209060495,1.8555794276753037,3,
8,0.0045000000000000005,0.08152024808997611,0.011,0.09252024808997611,0.41855142509413773,0.058,0.4765514250941377,1.8405869881837826,0.22199999999999998,2.0625869881837824,2.0626227939743096,0.085,2.1475869881837824,2.0626151865445306,0.011,2.0735869881837825,2.0785895719180707,3,
9,0.005000000000000001,0.09252246734827203,0.009,0.10152246734827203,0.4765567713311682,0.059,0.5355567713311682,2.0625965899898104,0.305,2.3675965899898106,2.367632395780338,0.088,2.4555965899898107,2.367623482870895,0.01,2.3775965899898104,2.3825991737240986,3,
